STATE,count,spending
AK,28,213066.45
AL,1153,10215070.96
AR,662,1409808.82
AZ,12264,145744471.66
CA,28121,217167177.46
CO,18777,257611173.14
CT,2776,14399698.53
DC,3310,18136765.39
DE,160,12178994.11
FL,5661,51441261.32
GA,7482,71519006.53
HI,12,54837.24
IA,7082,19310276.22
ID,577,2922635.92
IL,51985,648627793.74
IN,2484,4963950.46
KS,3014,82336904.76
KY,3333,6192136.28
LA,651,8835362.98
MA,3504,52739487.83
MD,2228,22141181.29
ME,490,3447515.45
MI,4591,19556646.63
MN,14463,26348849.8
MO,119922,414002075.4
MS,1758,4131171.11
MT,370,1462223.06
NC,7133,158455716.08
ND,178,303438.99
NE,2544,16442083.83
NH,368,13173187.7
NJ,4154,38721299.86
NV,8227,22726544.35
NY,6319,118212784.77
OH,3944,21027233.02
OK,1092,7510380.94
OR,1170,67586581.92
PA,24700,173193646
PR,1,2500
RI,87,5629754.48
SC,599,1238532.87
SD,129,1631259.9
TN,973,1809618.03
TX,36458,249715113.64
UT,2936,20712198.26
VA,4049,30540268.49
VI,13,4261907.56
VT,273,2487632.27
WA,2484,92025327.03
WI,4935,20924097.24
WV,240,3032965.09
WY,236,4403465.18
